,Agenda_issue,Belieftruth_tree,Chosen_instrument,Run_number
0,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5670872353094081, -0.19999999999999996, 0.0, -0.05882352941176472, -0.1428571428571428, 0.0, -0.770884747397305, -0.9951326590507157, -0.7932671052482673, -0.3809939766842496, -0.6007692121700516, -0.3635476202468413]",13,1
1,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5695925780322408, -0.19999999999999996, 0.0, 0.04705882352941182, -0.02857142857142847, -0.10000000000000009, -0.46496623152690386, -0.9786367723036294, -0.5184032532408646, -0.4855600517012575, -0.857573803045633, -0.1338520301216073]",13,1
2,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5810857995850227, -0.19999999999999996, 0.0, 0.14235294117647057, 0.07428571428571429, -0.18999999999999995, -0.17911795205884196, -0.9522687975824672, -0.2624176154460016, -0.5631573882706873, -0.9210316260479453, -0.03891126873249984]",13,1
3,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5977762335899683, -0.19999999999999996, 0.0, 0.22811764705882331, 0.16685714285714304, -0.2709999999999999, 0.06119733628452351, -0.9200947822569416, -0.04788880127472339, -0.6179179896360308, -0.9464933632576369, 0.04931805467294037]",13,1
4,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6187524428987436, -0.19999999999999996, 0.0, 0.3053058823529411, 0.2501714285714287, -0.3439000000000001, 0.25436409098020407, -0.8857662460815066, 0.12399999609449064, -0.654762837137202, -0.9590465997553527, 0.12732813426134948]",13,1
5,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6430655809458559, -0.19999999999999996, 0.0, 0.374775294117647, 0.32515428571428595, -0.40951000000000004, 0.4059422523842988, -0.8518585122266034, 0.2584353494118734, -0.6781792070689532, -0.9659025478920895, 0.1949941949777214]",13,1
6,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6698618356367627, -0.19999999999999996, 0.0, 0.43729776470588244, 0.3926388571428572, -0.46855899999999995, 0.5229639007458222, -0.8199079550668619, 0.36185873270948954, -0.6918481926430938, -0.9698302719211978, 0.2532695211849125]",13,1
7,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.2210876784744228, -0.19999999999999996, 0.0, 0.49356798823529413, 0.4533749714285713, -0.5217030999999999, 0.6476557562234295, -0.8102300014601067, 0.47200969824232497, -0.7295372170138148, -0.9755017209185387, 0.0651134131847999]",13,1
8,2,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.2664951162897825, -0.19999999999999996, 0.0, 0.5442111894117649, 0.5080374742857141, -0.5695327899999998, 0.738383268267403, -0.7991707925701954, 0.5518300673690788, -0.7514806388502144, -0.9786472014450983, 0.11675560573765686]",13,1
9,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.31209996169515064, -0.19999999999999996, 0.0, 0.5897900704705883, 0.5572337268571426, -0.6125795109999999, 0.8034838417380481, -0.7878330050406055, 0.6088408484018637, -0.7630412882132277, -0.9803619513165102, 0.1622830942752267]",13,1
10,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.3575270184159983, -0.19999999999999996, 0.0, 0.6308110634235293, 0.6015103541714284, -0.6513215599, 0.8497995073798807, -0.7768743568468628, 0.6491770051780235, -0.7680438824559093, -0.9812467174584006, 0.20266340390238957]",13,1
11,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.40248476823124657, -0.19999999999999996, 0.0, 0.6677299570811763, 0.6413593187542856, -0.68618940391, 0.8823118071120661, -0.7665197166027263, 0.6772867274980852, -0.7689123084793352, -0.9816300387419655, 0.23876292695833157]",13,1
12,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.44675200152081773, -0.19999999999999996, 0.0, 0.7009569613730589, 0.6772233868788571, -0.7175704635190001, 0.9046202132131738, -0.7567720691014159, 0.6963708189634608, -0.7671608387290498, -0.9816990358736759, 0.2713143242109477]",13,1
13,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.4901648137417557, -0.19999999999999996, 0.0, 0.7308612652357531, 0.7095010481909714, -0.7458134171671, 0.9193342886350395, -0.7475337195937305, 0.7087398531615996, -0.7637240281561828, -0.9815633357797445, 0.3009236527069197]",13,1
14,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5326052385600846, -0.19999999999999996, 0.0, 0.7577751387121776, 0.738550943371874, -0.7712320754503901, 0.928357452421555, -0.7386717248261109, 0.7160717359519133, -0.7591719990222099, -0.9812884278333737, 0.32808582107822737]",13,1
15,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.5739916610077023, -0.19999999999999996, 0.0, 0.7819976248409599, 0.7646958490346867, -0.7941088679053512, 0.9330862577802985, -0.7300507635908443, 0.7195921247194155, -0.7538482498235302, -0.9809139429722511, 0.3532011012851273]",13,1
16,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6142708873796565, -0.19999999999999996, 0.0, 0.803797862356864, 0.7882262641312181, -0.8146979811148161, 0.9345500368602282, -0.7215479000084858, 0.7202005158415519, -0.7479566599922647, -0.980464034071483, 0.376590704947805]",13,1
17,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6534116801717988, -0.19999999999999996, 0.0, 0.8234180761211776, 0.8094036377180962, -0.8332281830033343, 0.9335095659907899, -0.7130577691288722, 0.7185590432736468, -0.7416158518768605, -0.9799534267474881, 0.39851076911762595]",13,1
18,4,"[0.0, -0.5, -0.33333333333333337, 0.0, -0.6913995529292336, -0.19999999999999996, 0.0, 0.8410762685090598, 0.8284632739462867, -0.8499053647030008, 0.9305276217526626, -0.7044930164326717, 0.7151557345695141, -0.7348928764140974, -0.9793910163574784, 0.4191645388756584]",13,1
